,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
21,904112,15,20000500,1,2022,Khris Middleton,MIL,SF,66,20000015,2022-06-20T23:13:41,66,942.3,882,4,186.2,420.7,18.3,21.5,119.5,241.8,20.4,66.7,178.8,15.4,106.7,119.9,36.7,16.9,129.8,146.7,0.4,2.6,1.5,147.5,31.3,3.1,78.3,65.9,545.9,473.4,23.8,3.7,10.5,0.30000000000000004,0.1,2.4,11.1,981.1,1024.6,981.1,124.4,0.7000000000000001,0.0,1024.6,False,,Scrambled
22,904869,5,20000501,1,2022,Michael Carter-Williams,ORL,PG,0,20000005,2022-06-20T23:13:41,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
23,905070,9,20000511,1,2022,Jabari Parker,BOS,PF,0,20000009,2022-06-20T23:13:41,12,40.2,46,12,3.1,15.7,19.5,23.9,1.7000000000000002,3.7,18.7,1.4,2.7,20.6,1.5,1.5,41.2,0.8,3.9,11.5,0.8,3.7,2.3,1.0,0.7000000000000001,0.2,1.4,2.2,21.8,17.3,26.0,2.9,1.3,0.30000000000000004,0.1,2.7,3.3,42.3,44.1,42.3,-2.9,0.0,0.0,44.1,False,,Scrambled
24,905742,4,20000515,1,2022,Jimmy Butler,MIA,SF,57,20000004,2022-06-20T23:13:41,57,911.0,796,1,164.0,341.5,19.8,20.5,152.9,293.8,21.4,11.1,47.8,4.0,163.2,187.5,35.8,42.0,96.4,138.4,1.0,2.3,1.7000000000000002,128.5,38.7,11.1,49.9,36.3,502.2,424.0,24.4,11.2,10.9,0.4,0.30000000000000004,1.8,11.0,960.9,958.3,960.9,100.9,2.0,0.7000000000000001,958.3,False,,Scrambled
25,905097,6,20000516,1,2022,Derrick Rose,NY,PG,4,20000006,2022-06-20T23:13:41,26,242.3,261,4,50.3,112.9,18.3,21.1,35.0,75.0,19.2,15.2,37.9,16.6,12.4,12.8,39.9,3.6,23.5,32.1,0.6000000000000001,1.7000000000000002,1.1,42.4,3.7,2.0,16.1,2.5,128.1,118.5,22.3,3.3,11.4,0.30000000000000004,0.30000000000000004,2.0,3.9,256.3,259.6,256.3,37.9,0.0,0.0,259.6,False,,Scrambled
26,904899,6,20000517,1,2022,Taj Gibson,NY,PF,4,20000006,2022-06-20T23:13:41,52,267.3,389,12,35.4,68.4,21.3,23.3,29.3,52.7,22.9,2.5,15.7,16.3,17.3,21.4,33.3,36.3,58.1,94.3,1.7000000000000002,2.8,2.2,13.2,3.7,16.5,11.1,56.4,94.3,77.8,25.0,2.2,0.8,0.2,0.7000000000000001,2.1,1.7000000000000002,292.8,280.7,292.8,17.7,0.0,0.0,280.7,False,,Scrambled
27,905126,23,20000519,1,2022,Tony Snell,NO,SG,12,20000023,2022-06-20T23:13:41,53,158.0,339,12,28.4,70.5,16.6,22.2,4.1,17.7,23.0,18.5,52.7,14.5,0.7000000000000001,0.7000000000000001,41.2,2.7,35.8,42.4,0.4,2.0,1.2,11.5,2.7,1.5,3.2,28.8,77.0,71.2,22.2,1.3,0.8,0.2,0.2,1.7000000000000002,1.7000000000000002,168.3,173.3,168.3,-48.2,0.0,0.0,173.3,False,,Scrambled
28,904846,24,20000522,1,2022,Doug McDermott,SA,SF,51,20000024,2022-06-20T23:13:41,51,332.5,503,19,88.6,191.6,19.0,23.8,44.1,86.1,21.1,44.5,105.5,17.4,16.5,21.0,32.3,3.1,40.0,47.4,0.30000000000000004,1.4,0.8,26.4,2.2,1.0,17.7,32.5,238.1,200.8,24.4,2.4,1.2,0.1,0.1,1.4,3.1,340.3,366.0,340.3,-15.7,0.0,0.0,366.0,False,,Scrambled
29,904908,5,20000524,1,2022,E'Twaun Moore,ORL,SG,0,20000005,2022-06-20T23:13:41,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
30,904119,12,20000530,1,2022,Rajon Rondo,CLE,PG,1,20000012,2022-06-20T23:13:41,39,237.1,287,24,28.0,72.5,15.9,19.7,15.2,36.3,17.3,12.8,36.3,14.5,3.2,10.7,30.1,2.5,38.3,44.5,0.4,2.4,1.5,70.0,12.4,1.0,27.6,23.1,76.6,77.2,20.4,2.2,13.8,0.4,0.1,10.8,2.8,252.0,260.2,252.0,-45.3,0.2,0.0,260.2,False,,Scrambled
31,939139,9,20000532,1,2022,Al-Farouq Aminu,BOS,PF,0,20000009,2022-06-20T23:13:41,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
32,905718,25,20000539,1,2022,Dwight Powell,DAL,PF,71,20000025,2022-06-20T23:13:41,82,591.3,741,2,110.8,165.2,27.6,28.3,105.5,150.0,29.0,2.2,15.2,14.5,68.4,87.3,32.3,71.3,95.2,166.4,1.8,2.4,2.1,40.0,15.2,16.1,26.4,90.6,295.4,203.6,29.9,3.3,1.4,0.2,0.30000000000000004,1.9,2.4,622.7,616.8,622.7,30.5,0.30000000000000004,0.0,616.8,False,,Scrambled
33,904134,27,20000541,1,2022,Trevor Ariza,LAL,SF,11,20000027,2022-06-20T23:13:41,24,107.9,190,3,13.6,40.8,13.7,17.9,2.2,10.3,21.4,3.4,30.5,11.1,1.7000000000000002,3.1,22.9,1.7000000000000002,29.7,33.8,0.4,2.8,1.6,11.1,2.2,1.0,1.9,3.4,39.6,44.1,18.5,1.5,1.3,0.2,0.2,1.6,1.9,115.7,116.0,115.7,-23.1,0.0,0.0,116.0,False,,Scrambled
