Name,Started,Games,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,PlusMinus,DoubleDoubles,TripleDoubles,Team_ATL,Team_BKN,Team_BOS,Team_CHA,Team_CHI,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GS,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NO,Team_NY,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SA,Team_SAC,Team_TOR,Team_UTA,Team_WAS,Position_C,Position_PF,Position_PG,Position_SF,Position_SG
Thaddeus Young,1,52,348,21,58.1,112.1,21.3,22.7,51.1,92.3,22.8,2.9,19.8,14.6,3.9,20.2,19.3,33.0,52.7,85.7,1.7000000000000002,2.9,2.3,42.8,22.2,3.1,21.4,33.4,132.7,120.9,22.6,3.3,3.1,0.5,0.4,2.6,3.0,3.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Brook Lopez,11,13,123,10,25.1,54.0,19.2,22.0,17.3,32.1,22.2,3.2,21.8,14.7,3.4,3.9,35.8,3.2,14.0,21.8,1.2,2.0,1.6,1.0,1.4,2.5,2.0,14.0,66.3,58.1,23.5,3.2,0.5,0.2,0.8,1.3,3.7,-2.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bojan Bogdanovic,69,69,878,2,173.9,382.3,18.7,22.7,99.3,189.5,21.6,74.6,192.8,15.9,91.9,107.1,35.3,23.9,98.1,122.0,0.5,2.0,1.3,49.4,14.0,0.2,48.6,47.8,514.2,429.5,24.7,3.1,1.5,0.1,0.0,1.7000000000000002,4.1,89.8,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Mason Plumlee,73,73,737,23,84.5,131.8,26.4,26.4,84.5,131.0,26.6,0.0,0.30000000000000004,0.0,27.6,70.5,16.2,72.5,160.3,232.8,1.7000000000000002,4.0,2.8,93.1,25.1,21.4,41.2,92.3,196.5,162.8,24.9,2.9,2.8,0.30000000000000004,0.5,3.4,2.0,1.0,1.2,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paul Millsap,1,33,154,12,18.5,47.4,16.1,17.6,15.2,33.0,19.0,1.4,14.4,3.9,2.9,4.1,29.2,16.9,30.1,47.0,2.1,3.6,2.9,11.9,1.7000000000000002,2.2,3.2,27.6,47.4,51.7,18.9,2.1,1.9,0.2,0.5,2.2,3.0,-10.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Al Horford,69,69,826,20,109.6,234.4,19.2,22.5,72.9,125.2,24.0,36.7,109.2,13.8,33.0,39.1,34.7,44.5,173.9,218.4,1.0,3.8,2.4,95.6,20.2,37.9,26.8,53.6,288.8,251.6,23.6,3.2,2.8,0.2,0.7000000000000001,1.6,2.5,159.0,2.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dennis Schroder,29,64,756,12,128.5,298.3,17.8,20.2,93.1,195.3,19.7,35.4,103.0,14.2,64.7,75.8,35.1,14.0,74.2,88.2,0.30000000000000004,1.8,1.1,122.0,21.8,1.4,58.9,63.4,357.2,331.6,22.2,2.7,10.2,0.2,0.1,2.6,3.7,-14.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kent Bazemore,14,39,224,14,18.5,57.3,13.3,17.8,2.7,24.3,11.2,11.9,33.0,14.9,2.2,2.9,31.5,2.2,23.1,28.4,0.4,1.9,1.2,14.0,10.3,1.5,3.6,28.8,54.4,60.3,18.6,1.3,1.4,0.4,0.2,2.1,2.3,-48.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mike Muscala,0,43,244,4,46.6,102.2,18.8,24.6,17.7,35.0,20.8,28.8,67.2,17.7,19.8,23.5,34.7,3.6,44.5,53.1,0.6000000000000001,3.2,1.9,3.7,3.1,10.7,2.4,23.9,141.7,112.5,26.0,3.9,1.0,0.30000000000000004,0.7000000000000001,0.8,3.6,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LaMarcus Aldridge,12,47,433,1,103.8,188.7,22.7,23.3,98.1,169.7,23.8,2.4,19.0,12.5,36.7,42.0,36.0,30.1,76.2,106.3,1.3,3.2,2.3,17.3,2.4,19.4,18.1,32.1,250.1,207.2,24.8,3.9,1.1,0.1,0.7000000000000001,1.4,3.8,3.2,0.30000000000000004,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nicolas Batum,54,59,602,12,73.7,159.4,19.1,24.8,29.3,48.2,25.0,44.5,111.2,16.5,10.3,15.7,27.1,11.9,92.7,104.6,0.4,2.7,1.6,41.2,24.3,17.3,16.5,33.0,202.3,166.3,25.0,2.7,1.6,0.30000000000000004,0.4,1.5,2.3,-52.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Robin Lopez,9,36,251,21,45.3,82.0,22.8,23.0,44.5,79.5,23.1,0.30000000000000004,1.0,13.7,13.2,22.2,24.4,28.0,23.9,51.9,2.0,1.7000000000000002,1.8,22.2,0.30000000000000004,3.1,18.1,27.6,104.6,91.8,23.5,2.7,2.4,0.0,0.5,2.8,3.2,-26.8,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Damian Lillard,29,29,434,24,91.5,227.4,16.6,20.0,53.6,110.4,20.0,37.9,117.0,13.3,65.5,74.6,36.2,2.2,44.1,49.4,0.2,2.0,1.1,87.3,2.9,1.9,34.2,15.2,286.3,260.2,22.7,3.8,14.0,0.1,0.2,2.0,12.2,-12.4,1.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
C.J. McCollum,62,62,883,22,220.8,479.6,19.0,22.2,145.8,286.3,21.0,75.0,193.2,16.0,47.8,70.0,28.1,21.8,89.0,110.8,0.5,1.9,1.2,129.8,28.8,3.7,52.3,49.9,564.4,510.4,22.8,3.7,10.4,0.30000000000000004,0.2,1.6,11.3,-28.4,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tim Frazier,3,12,85,14,2.4,18.5,12.8,15.6,1.4,11.5,11.8,1.0,2.9,14.5,0.8,1.5,22.9,0.8,2.4,3.2,0.5,1.2,0.9,14.0,0.5,0.2,2.5,11.1,16.1,20.2,16.4,0.8,3.7,0.1,0.1,4.0,2.3,-33.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
